Date,AAPL,BAC,DIS,FB,INTC,JNJ,JPM,MSFT,TSLA,V,high_1,high_2,high_3,low_3,low_2,low_1,Total_by_highest,high_3_unit,high_2_unit,high_1_unit,Total_by_lowest,low_3_unit,low_2_unit,low_1_unit
2015-03-26,114.60438091890104,14.304385814495523,98.67274909176706,83.01,26.351766303996783,87.90484871899808,52.52566058412728,37.259897677739055,190.405,63.472200531651865,TSLA,AAPL,DIS,MSFT,INTC,BAC,100.03995257202098,0.33795197928789306,0.29097186852689205,0.17513537384701205,86.37230504648535,0.7727012188235157,1.0925555432108451,2.0127231411538813
2015-03-27,113.69116185008494,14.202344151746205,98.89777246483837,83.3,28.03379394042211,88.08041262696493,52.534482495545504,37.04290239885874,185.0,63.423814954176905,TSLA,AAPL,DIS,MSFT,INTC,BAC,98.90367191186556,0.3333532173235728,0.28997760336692247,0.17820481425561363,87.83695953204854,0.7904074630929812,1.0444175545025065,2.061560133865855
2015-03-30,116.56918558211144,14.39715096244945,99.49783479302852,83.195,27.56072366767749,89.14257427016432,53.7783720055156,37.033860928905405,190.57,63.5399403401168,TSLA,AAPL,DIS,MSFT,INTC,BAC,100.93086785921236,0.33813421859602866,0.288615061104968,0.17654207178326836,87.7373361441037,0.7897037462781669,1.0611397243171785,2.0313587591725524
2015-03-31,114.77964518463344,14.276556270109346,98.34459000603808,82.215,27.39427301615623,88.30864570732182,53.44313937162295,36.75809609532835,188.77,63.298012452742,TSLA,AAPL,DIS,MSFT,INTC,BAC,99.70665229393559,0.3379499651440372,0.28955962279882297,0.17606373239733641,87.09796513887363,0.7898302178382145,1.0598074652015301,2.0335895083519917
2015-04-01,114.61360535393959,14.295109299700131,98.86026856932648,81.665,26.991287228262664,87.03580737456221,53.238886761861025,36.81686565002509,187.59,63.0754387963572,TSLA,AAPL,DIS,MSFT,INTC,BAC,99.62509221145028,0.335912136908629,0.28974190252485554,0.1770263024174179,86.75502500900626,0.7854645190212992,1.0713954256834504,2.022953519514214
2015-04-02,115.60061990306406,14.415703992040235,99.38532310649286,81.555,26.991287228262664,87.46593894908098,53.7450780121406,36.42808244203122,191.0,63.181887066802105,TSLA,AAPL,DIS,MSFT,INTC,BAC,100.69110356754983,0.3377128547765475,0.29034187893912544,0.17572618423656167,86.69360705083994,0.7932854841572415,1.0706369345248417,2.0046103216952065
2015-04-06,117.47318021588899,14.387874447654058,99.03841207300793,82.44,27.192780122209445,87.04458556996055,53.700675270888006,37.56278692117615,203.1,63.09479302734718,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.24391676099297,0.3474877898381653,0.29295741255224994,0.16944676967174296,87.75368998533294,0.7787289600341262,1.0756983972823109,2.0330473484136076
2015-04-07,116.23710592072376,14.341491873677095,98.85089259544851,82.32,27.38551245554985,87.86973593740471,54.03813610440773,37.54922471624613,203.25,63.675419957046685,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.84205592040107,0.3467918640562561,0.29492032716455047,0.16866265833604113,87.8561525966343,0.779919809801224,1.0693750663388895,2.0420040297641266
2015-04-08,115.85890408414335,14.480639595607984,99.72285816609981,82.275,27.42931525858176,87.92240510979477,54.2157470694181,37.44976854675932,207.67,64.35281804169612,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.77839602650688,0.34688936229529277,0.298576954002422,0.16657581102471372,88.10956659415805,0.7842466501419142,1.0707469455402145,2.0282153517786585
2015-04-09,116.74444984784382,14.573404743561913,100.10727309509663,82.17,27.367991334337084,88.94945397140079,54.5887300959399,37.504017366479395,210.09,64.29475534872617,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.57926249551862,0.3482239909987154,0.2985988131393529,0.16592771747904647,88.27459634191433,0.7845790268219197,1.0751561957119977,2.019079684196913
2015-04-10,117.24256933992532,14.582681258357304,100.2760406249001,82.04,27.972470016177436,89.59026223547977,54.79298270570184,37.7210126453597,210.9,64.19798419377625,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.92117073859292,0.348774476550747,0.29830226151160577,0.16583083726662387,89.1134853091632,0.7874787292251693,1.0619189183463338,2.0369707447339844
2015-04-13,117.01195846396166,14.656893376720447,99.86349777426939,83.01,27.7972588040498,88.26475473033011,55.121562990971036,37.75717852517308,209.78,63.49155476264184,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.52276403824169,0.34888544986512177,0.2977552192395033,0.16608314112918562,89.10707298338568,0.7866678290414552,1.0685354937516789,2.026511136957906
2015-04-14,116.5046145368416,14.67544640631123,100.00413738243894,83.515,27.587005349496632,88.23842014413508,55.982976171271375,37.657722355686275,207.46,63.41413783868191,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.0354539615376,0.3467704993167165,0.29765760602452085,0.1671574503704129,88.84176865666677,0.7863970796174273,1.0734736340672055,2.017923139484194
2015-04-15,116.94738741869185,14.508469139994164,100.30416854653403,82.705,28.76092047075181,88.30864570732182,57.02200031658208,38.204731287863716,207.83,63.55929457110679,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.33313889078259,0.34672250882035677,0.29737913544903727,0.16733730916419282,90.19515452528698,0.7869457654837528,1.0453438560495103,2.0722414762251815
2015-04-16,116.3846968813405,14.647616861925053,101.35427762086677,82.31,28.795962713177335,87.5976118800561,56.66677838656133,38.11883732330692,206.7,63.53026322462182,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.34081175869183,0.34315542868681115,0.29883886385587854,0.16826449243459415,90.45253950712757,0.7909697309666051,1.0470511718150861,2.0584131047795102
2015-04-17,115.07482710586692,14.434257021631023,100.03226530407285,80.775,28.44554028892206,87.41326977669092,55.805365206260994,37.626077210849566,206.79,62.43674917368772,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.51085986421059,0.34492490847682555,0.29983638318217165,0.1668534259622654,89.25668827230444,0.7907342893434121,1.0459365201682707,2.061223475480249
2015-04-20,117.70379109185264,14.443533536426415,101.46678930740242,83.09,28.67331486468799,87.96629608678647,56.160587136281755,38.79242683483121,205.27,62.63029148358756,TSLA,AAPL,DIS,MSFT,INTC,BAC,104.54030477037836,0.34343028388551333,0.2960547653864384,0.16976064820379394,90.43631963057587,0.7770960039497046,1.0513412913406672,2.0871236114647562
